id,歌曲名,专辑,时间,作者
2164852326,GoneBad(PHONK),GoneBad,2:21,GTR7
2163953992,是想你的声音啊2024,是想你的声音啊（说唱版）,3:11,制造热搜/果妹/傲七爷/Aioz
2161527760,不如回家喝自来水 (Live版),天赐的声音第五季 第6期,3:21,陈楚生/王赫野
2600804126,云边的风筝,云边的风筝,4:22,周深
2166118123,妥协 (Live版),天赐的声音第五季 第8期,4:10,张含韵/姚晓棠
2602320199,泪桥,泪桥,3:46,Tr1p1e1
2163982959,异客 (Live版),天赐的声音第五季 第7期,3:47,杨坤/王睿卓/王赫野
2600763192,耙耙爱情故事2024,耙耙爱情故事2024,2:59,阿拉梅
2599542235,网恋,网恋,3:12,Six Teen/果妹
2166788095,玛利亚,理想国,3:18,杨和苏KeyNG
2164260202,你在，不在 (live),歌手2024 第5期,4:17,汪苏泷
2600433769,何物 (Live版),天赐的声音第五季 第9期,4:36,张碧晨/王赫野
2602631855,将芯比心,将芯比心,3:40,许嵩
2164277981,你在，不在 (live │ 典藏),歌手2024 第5期,4:17,汪苏泷
2600433775,下一次爱情来的时候 (Live版),天赐的声音第五季 第9期,4:28,吉克隽逸/姚晓棠
2601180814,Where to go,Love Me Later,3:11,王以太/艾热 AIR
2164006365,传说A Legend (feat. 成龙/金喜善),STEP,3:10,张艺兴/成龙/金喜善
2600493765,恋人,恋人,4:35,李荣浩
2601180809,Time To Be A Man,Love Me Later,3:4,王以太
2161155720,雨天雨天 (live),歌手2024 第4期,5:3,汪苏泷
2161570791,你的目光,你的目光,2:50,张叶蕾
2161527734,迷宫 (Live版),天赐的声音第五季 第6期,3:42,陶喆/单依纯
2601180810,Wake Up,Love Me Later,3:31,王以太
2166118105,连名带姓 (Live版),天赐的声音第五季 第8期,5:49,张碧晨/黄丽玲
2163665381,老北京杀器,老北京杀器,3:27,秃子2z/辉子/Saber梁维嘉
2163982868,晓得 (Live版),天赐的声音第五季 第7期,3:49,陈楚生/姚晓棠
2162912603,仗着,仗着,2:57,俞天时/陈壹千
2601180813,眼前的歌,Love Me Later,3:22,王以太
2166087862,河,河,4:56,何浩楠
2601178811,燕南飞,Love Me Later,3:8,王以太/PJ Morton
2163982666,代替,代替,4:41,闭文思
2163602178,love9 2.0,love9 2.0,2:41,江辰
2162851439,我可以假装很好,我可以假装很好,4:7,何洁/苏醒
2601180812,Do It Like This,Love Me Later,4:2,王以太/马思唯
2165544251,月下,月下,2:25,ss.沧川
2599870526,罪（feat.旺仔小乔）,罪（feat.旺仔小乔）,3:42,江辰/旺仔小乔
2162395250,Here We Are,华晨宇日出演唱会特辑,6:59,华晨宇
2166118151,冬眠 (Live版),天赐的声音第五季 第8期,3:43,王赫野/赵磊
2601622269,我会好好的,我会好好的,3:44,en
2155423469,若我不曾见过太阳,崩坏星穹铁道-空气蛹 INSIDE,2:25,知更鸟/HOYO-MiX/Chevy
2162394622,智商二五零,华晨宇日出演唱会特辑,3:38,华晨宇
2601040646,耙耙爱情故事2024 (Live),新说唱2024 第八期 (上),2:59,阿拉梅
2157870169,疯癫少女,疯癫少女,3:30,刀酱
2161527938,感官先生 (Live版),天赐的声音第五季 第6期,3:17,杨坤/杨宗纬
2163617296,消遣,Life After Small Town,2:59,艾志恒Asen/mac ova seas
2161988573,成分复杂 (Live),新说唱2024 第五期 (上),2:51,JarStick/新秀
2164832581,能不能让我回到最初的记忆,能不能让我回到最初的记忆,2:15,emovo
2161220020,最近 也不是最近,奇幻漂流,2:33,沧桑Cang333/三火flame
2600433801,空空 (Live版),天赐的声音第五季 第9期,3:31,陈楚生/于文文
2163309687,WAVE,漩涡人生,2:42,郑润泽/沧桑Cang333
2164345397,玛丽亚 (Live),新说唱2024 第六期 (下),4:14,杨和苏KeyNG/李外LilWine
2602329575,主动 (live),说唱梦工厂 第6期,3:5,加木
2161997225,Down For Life(PHONK),Down For Life,2:43,GTR7
2163198662,真空,真空,3:49,房东的猫/夏日入侵企画
2160373710,可以不是你,可以不是你,4:55,张远
2600433756,诺言 (Live版),天赐的声音第五季 第9期,4:57,陈冰/GAI周延
2161988154,小地方大梦想 (Live),新说唱2024 第五期 (上),3:27,罗言/JinJiBeWater_隼
2161934816,向阳而生,华晨宇日出演唱会特辑,11:42,华晨宇
2601604419,GRAD SONG,GRAD SONG,3:12,艾志恒Asen/7rouble/火人
2600747416,傻瓜 (live),歌手2024 第7期,4:40,汪苏泷
2166539020,爱止痛 (Live),新说唱2024 第七期 (上),3:34,JinJiBeWater_隼/Zzqc_Jessie
2601601686,Dream All Summer (夏夜),Dream All Summer (夏夜),3:2,鹿晗
2602339640,华仔,华仔,2:56,王齐铭WatchMe/盛宇D-SHINE
2166118147,可以不是你 (Live版),天赐的声音第五季 第8期,4:52,陈冰/张远
2600443395,推开世界的门,推开世界的门,2:56,en
2166118136,我走后 (Live版),天赐的声音第五季 第8期,4:15,杨坤/于文文
2600747418,说谎 (live),歌手2024 第7期,4:51,张远
2600060888,Rockstar,Rockstar,2:18,LISA
2601622789,去北极忘记你,去北极忘记你,4:11,Gareth.T
2162398636,斗牛,华晨宇日出演唱会特辑,6:1,华晨宇
2156226361,我知道,我，还好,4:14,杨昔默
2601893513,一声老师一生老师,一声老师一生老师,3:21,毛不易
2602713531,很远的地方 (国语版),很远的地方,5:4,张学友
2161905000,雨天雨天 (live │ 典藏),歌手2024 第4期,5:5,汪苏泷
2158987669,RNB歌手就是这个b样,RNB歌手就是这个b样,2:59,李晨曦Chrisulous/加木
2163974549,天后 (Live版),天赐的声音第五季 第7期,4:10,黄丽玲/吉克隽逸
2161091523,所以呢,所以呢,3:23,刘至佳/姜云升
2600856374,世界主角,世界主角,3:2,李小眼
2163619024,唯唯,Life After Small Town,3:13,艾志恒Asen
2166444455,Askitxamiz（还会有好处）,Askitxamiz（还会有好处）,3:25,Yusup Sahra
2166118641,毒药 (Live版),天赐的声音第五季 第8期,4:7,吉克隽逸/黄子弘凡
2601116164,单程车,单程车,2:36,三火flame
2166071862,很久的瞬间,很久的瞬间,3:6,颜人中
2166595026,空白とカタルシス,空白とカタルシス,3:10,トゲナシトゲアリ
2166790895,七宗罪 (feat. 法老),理想国,3:37,杨和苏KeyNG/法老
2166067707,下雨天,下雨天,3:47,en
2602713532,很远的地方 (粤语版),很远的地方,5:5,张学友
2164338538,风吹雨落,风吹雨落,2:39,刀酱
2145132841,为什么,为什么,3:4,黄鲲/芝麻Mochi
2163954997,我耍qq飞车,我耍qq飞车,2:43,Ash-1/13FlowMic
2158981686,一定有人爱着你,一定有人爱着你,4:42,胡夏
2161223769,性单恋,奇幻漂流,2:33,沧桑Cang333/李大奔BENZO
2161527912,恶作剧 (Live版),天赐的声音第五季 第6期,3:55,徐怀钰/姚晓棠
2601985829,魔女 (Tokyo Remix),绯闻 (Tokyo Remix),3:24,沈以诚
2165457999,遗忘周,漩涡人生,4:30,郑润泽
2600433743,我的名字 (Live版),天赐的声音第五季 第9期,4:28,梁咏琪/陈立农
2166486002,野风筝,林童,4:12,功夫胖KungFuPen
2602339632,回忆总是慢动作,回忆总是慢动作,1:39,磨尖的粉笔
2164216336,离太阳最近的光 (Live版),天赐的声音第五季 第7期,3:37,张碧晨/王赫野
2600747412,Lemon Tree (live),歌手2024 第7期,4:28,YELLOW黃宣
